code,entity,continent,year,gdp_per_cap,plastic_waste_per_cap,mismanaged_plastic_waste_per_cap,mismanaged_plastic_waste,coastal_pop,total_pop
AFG,Afghanistan,Asia,2010,1614.25500126115,,,,,31411743.0
ALB,Albania,Europe,2010,9927.18184117512,0.069,0.032,29705.0,2530533.0,3204284.0
DZA,Algeria,Africa,2010,12870.6026985154,0.144,0.086,520555.0,16556580.0,35468208.0
ASM,American Samoa,Oceania,2010,,,,,,68420.0
AND,Andorra,Europe,2010,,,,,,84864.0
AGO,Angola,Africa,2010,5897.68284059848,0.062,0.045,62528.0,3790041.0,19081912.0
AIA,Anguilla,North America,2010,,0.252,0.01,52.0,14561.0,15358.0
ATG,Antigua and Barbuda,North America,2010,19212.7201307541,0.66,0.051,1253.0,66843.0,88710.0
ARG,Argentina,South America,2010,18712.0630773436,0.183,0.026,157777.0,16449245.0,40412376.0
ARM,Armenia,Europe,2010,6702.84800627941,,,,,3092072.0
ARM,Armenia,Asia,2010,6702.84800627941,,,,,3092072.0
ABW,Aruba,North America,2010,,0.252,0.007,372.0,137910.0,107488.0
AUS,Australia,Oceania,2010,41464.0400696359,0.112,0.002,13889.0,17235954.0,22268384.0
AUT,Austria,Europe,2010,43336.1978527647,,,,,8393644.0
AZE,Azerbaijan,Europe,2010,15950.2574578783,,,,,9187783.0
AZE,Azerbaijan,Asia,2010,15950.2574578783,,,,,9187783.0
BHS,Bahamas,North America,2010,29221.9911816149,0.39,0.011,1333.0,341145.0,342877.0
BHR,Bahrain,Asia,2010,40570.5356928307,0.132,0.016,4376.0,743574.0,1261835.0
BGD,Bangladesh,Asia,2010,2442.72888765696,0.034,0.03,787327.0,70874124.0,148692131.0
BRB,Barbados,North America,2010,16417.9624523108,0.57,0.034,3483.0,276784.0,273331.0
BLR,Belarus,Europe,2010,16235.1714534334,,,,,9595421.0
BEL,Belgium,Europe,2010,41085.9189401366,0.08,0.002,2743.0,4747957.0,10712066.0
BLZ,Belize,North America,2010,7876.80958597644,0.172,0.053,3892.0,202429.0,311627.0
BEN,Benin,Africa,2010,1818.77846075906,0.043,0.036,43015.0,3235418.0,8849892.0
BMU,Bermuda,North America,2010,56395.0078003539,0.252,0.005,123.0,66966.0,64941.0
BTN,Bhutan,Asia,2010,6419.67559908811,,,,,725940.0
BOL,Bolivia,South America,2010,5407.47022023569,,,,,9929849.0
BIH,Bosnia and Herzegovina,Europe,2010,9720.34217718095,0.144,0.061,12955.0,585582.0,3760149.0
BWA,Botswana,Africa,2010,13334.1987970857,,,,,2006945.0
BRA,Brazil,South America,2010,14537.5671930903,0.165,0.017,471404.0,74696771.0,194946470.0
VGB,British Virgin Islands,North America,2010,,0.252,0.005,55.0,29674.0,23245.0
BRN,Brunei,Asia,2010,80552.8644713138,0.026,0.001,93.0,359871.0,398920.0
BGR,Bulgaria,Europe,2010,15283.2914751664,0.154,0.051,18739.0,1002695.0,7494332.0
BFA,Burkina Faso,Africa,2010,1423.37770598198,,,,,16468714.0
BDI,Burundi,Africa,2010,763.831930213843,,,,,8382849.0
KHM,Cambodia,Asia,2010,2522.92682475402,0.066,0.058,29686.0,1391254.0,14138255.0
CMR,Cameroon,Africa,2010,2929.82911281962,0.046,0.038,27713.0,1986723.0,19598889.0
CAN,Canada,North America,2010,40699.3551293841,0.093,0.002,7959.0,11846863.0,34016593.0
CPV,Cape Verde,Africa,2010,5828.24158804338,0.065,0.049,9347.0,522245.0,495999.0
CYM,Cayman Islands,North America,2010,,0.252,0.005,95.0,51864.0,56230.0
CAF,Central African Republic,Africa,2010,881.144550791663,,,,,4401051.0
TCD,Chad,Africa,2010,1925.19511802507,,,,,11227208.0
CHL,Chile,South America,2010,19442.0503154635,0.119,0.011,21754.0,5621550.0,17113688.0
CHN,China,Asia,2010,9525.81848339164,0.121,0.092,8819717.0,262892387.0,1341335152.0
CXR,Christmas Island,Asia,2010,,0.252,0.005,3.0,1402.0,1400.0
CCK,Cocos Islands,Asia,2010,,0.252,0.005,1.0,596.0,596.0
COL,Colombia,South America,2010,10900.5052821616,0.144,0.034,92173.0,7498563.0,46294841.0
COM,Comoros,Africa,2010,1412.50268663997,0.201,0.169,58032.0,938595.0,734750.0
COG,Congo,Africa,2010,5186.34478845194,0.069,0.054,16766.0,847807.0,4042899.0
COK,Cook Islands,Oceania,2010,,0.144,0.054,416.0,20934.0,20288.0
CRI,Costa Rica,North America,2010,12999.9921931442,0.258,0.047,42090.0,2479298.0,4658887.0
CIV,Cote d'Ivoire,Africa,2010,2690.25800198952,0.103,0.086,194558.0,6230583.0,19737800.0
HRV,Croatia,Europe,2010,20171.9575294867,0.252,0.028,16461.0,1602782.0,4403330.0
CUB,Cuba,North America,2010,,0.089,0.022,90630.0,11333471.0,11257979.0
CUW,Curacao,North America,2010,,0.252,0.005,268.0,143784.0,
CYP,Cyprus,Europe,2010,33941.1380158355,0.248,0.006,1821.0,840556.0,1103647.0
CYP,Cyprus,Asia,2010,33941.1380158355,0.248,0.006,1821.0,840556.0,1103647.0
CZE,Czech Republic,Europe,2010,28352.9493964403,,,,,10492960.0
COD,Democratic Republic of Congo,Africa,2010,660.210955818272,0.045,0.039,15208.0,1076056.0,65965795.0
DNK,Denmark,Europe,2010,43998.4366716285,0.047,0.001,1791.0,5376386.0,5550142.0
DJI,Djibouti,Africa,2010,,0.103,0.076,17324.0,621744.0,888716.0
DMA,Dominica,North America,2010,10198.2733729326,0.149,0.031,783.0,70138.0,67757.0
DOM,Dominican Republic,North America,2010,11132.5526905467,0.144,0.039,118226.0,8232586.0,9927320.0
